,id,album_type,name,duration,popularity
0,7yDHHVKLbvDmVw1XXhDDIO,album,Pehle Bhi Main,250.158,84
1,1tf2iody5iRLYYPDSBpzRc,album,Soulmate,213.599,80
2,1eZefeDb8uOsjvcbl1fJrG,single,"Naina (From ""Crew"")",180.0,81
3,3yHyiUDJdz02FZ6jfUbsmY,single,"Satranga (From ""ANIMAL"")",271.169,83
4,5zCnGtCl5Ac5zlFHXaZmhy,single,"Sajni (From ""Laapataa Ladies"")",170.044,71
5,0M0ANKNzmM4Odd7FNKghzW,single,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",171.147,82
6,2fsBaSK1551VvUD9Uvbb9Q,single,Tu Hai,164.1,69
7,6bmmHeCvZI92pRiTHxEdTC,album,O Maahi,233.453,74
8,44Pcf8XrcjYleWAMKm0wH1,single,Tera Saath,259.459,40
9,2BJCgb5RvPSLBsx6UYfJV2,single,"Tere Sang Ishq Hua (From ""Yodha"")",218.095,66
10,2C6CJGFLbisteRuY6Plb7b,single,Ve Haaniyaan,240.0,78
11,0TuDuwsT38vxn6l0Htmhbn,single,Faasla,212.154,50
12,02qsW25Ddfg2f6DFE0fo0t,single,MERA YAAR,188.571,41
13,6IR6mzRO60hnMjNoq8rCPE,single,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",153.083,78
14,4bRyiA3wRWx3rnbCxNDete,single,Beqaabu,134.0,38
15,6VBhH7CyP56BXjp8VsDFPZ,single,"Kesariya (From ""Brahmastra"")",268.164,74
16,500H9ENeR5AYbKU1ScK6ME,album,Luka Chuppi,396.506,64
17,4nc6XiUze2Yh7wFueGOPv7,single,"Chaleya (From ""Jawan"")",200.373,76
18,3pPgLXFHuHx1AZ3CcdoVDl,single,"Ishq Mitaye (From ""Amar Singh Chamkila"")",273.561,63
19,2dMlTWQbY9tfPFLIqAa7Tv,single,Kahani Meri,139.318,69
20,6cUOiOY5qh2FpIQWIYAd2h,album,Mehrama,249.415,72
21,2rOnSn2piaqLAlYjtfUBlY,single,"Raataan Lambiyan (From ""Shershaah"")",230.292,72
22,1uCBFWAcZOJGAj1CFQHZDj,single,Daaku,160.396,71
23,1smFN2CLqGROu0J0UyvDfL,album,Shayad,247.941,74
24,3jtKSUiVDowKNBqVQbWaig,single,Iktara,253.773,54
25,0snQrp1VaY5Pj1YIHRJpRJ,single,Chaand Baaliyan,103.264,74
26,7uZLUFqPgGqwzD5rzOl8Sa,single,Mulaqat,246.519,64
27,18YHbIhrleUkKKj2DvEp79,album,Zara Sa,303.68,72
28,2Wn4C2J3naPghLX3pDSJra,single,5 am,147.538,59
29,0a56ZS4WFG85imc7Zd3eBu,single,Sehra,206.7,53
30,5ZLkihi6DVsHwDL3B8ym1t,single,One Love,159.222,79
31,32LKwbmh6yVsWoRRF8DIvf,single,Na Ja,208.0,69
32,1h1vGNtJMR2xKfOm9pVrSz,single,Anjani X,186.857,55
33,4CMTAmFhX0nYk7k5PWjsoK,single,Mohalla,182.727,44
34,0UrBzFH3GmgTGc3Hm7HefM,single,Star Struck,170.114,42
35,72zHuDxFQTjbL51qJQSA7j,single,"Ranjha (From ""Shershaah"")",228.855,73
36,58rQsszMhSed2pld0mMiXz,album,Safar,162.554,0
37,0IGXY47K2ha3AHfX57wY1O,single,"Deva Deva (From ""Brahmastra"")",279.107,69
38,2lX53kXvYnvpV8Vqfe4S7s,single,Sadqay,154.455,77
39,7m4CgL81VVIHaaiSxyH922,album,Desi Kalakaar,253.352,71
40,4VsP4Dm8gsibRxB5I2hEkw,single,Kahani Suno 2.0,173.637,75
41,0rMeOAvbQZ2RTG4B6L1M4p,single,Asal Mein,224.24,76
42,5iCY0TXNImK4hyKfcplQsg,single,Baarishein,207.309,6
43,77GDqNcQ3KLisgeW8f9p2s,single,Tera Jaadu,179.162,42
44,4blqlsA1uf2d2I40E90EUC,single,"Tere Hawaale (From ""Laal Singh Chaddha"")",346.29,73
45,5Fu0xOesCtDCqzDyRGRmYL,single,Fir Mile,100.95,55
46,2ZD4aIEepqZsdxPxLSuUhm,single,Tere Pyaar Mein,266.094,76
47,5TwYWjL6aHrpBgLEI1YkBk,single,Behne Do,180.125,42
48,29m79w9xPMH4YCD6r8JSmV,single,Excuses,176.232,74
49,3gQFyhBP3z5zdcVaEfQ8Ad,single,Soda Water,168.247,49
50,5BKKKNwrebowaMoUdBaNby,album,Tu Aake Dekhle,270.0,75
51,28lvraTNIN8qiTpoIK7m8Z,single,True Stories,117.972,72
52,2Fv2injs4qAm8mJBGaxVKU,single,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284.779,74
53,1y1rQTkWmrZdJmjwuK07GC,single,"Kaise Hua (From ""Kabir Singh"")",234.722,73
54,3ZGJhN4unVspOqpwGvUL2W,single,Lemonade,166.666,73
55,03hJuEQpEQERrHpjcXKWzJ,single,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",305.232,69
56,7GfdU12uRL2xtSQcRXmqNN,single,Laare,270.545,60
57,1RdrAqXa2fUj2XytsKaUwl,single,Haryana Hood,211.48,68
58,2vPrBucKCfKmafHhSfJ2pt,single,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216.27,72
59,0YWStlR9qyUVDWZM6hekS2,album,Kya,187.544,40
60,0PGU5mcLncBYE8yuVpSwqA,single,Bye,174.285,68
61,4ujToRFWb3C8tdPkmVPwu2,album,Jaadugar,192.0,64
62,4cwtAbeBTAdsgvMMxuiM0n,single,Socha Nahi,187.034,38
63,1QZRCi2Z1DQQaR6bGAzhtN,album,Love Dose,224.444,69
64,6DefzsWqnwrFrmNVnJxWkS,single,Jo Tu Na Mila,234.037,68
65,0YxKKO272sacGBJKjf6FnB,album,Saari Duniya Jalaa Denge,182.348,76
66,5O932cZmzOZGOGZz9RHx20,album,Khairiyat,280.281,72
67,3Kl8p2PxVf8eAayLwTxOIm,album,Dil Ibaadat,329.386,70
68,43YkTTlOD203o9E5ZxhUjF,compilation,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",262.986,65
69,0645eBDehHcqfiF15hscQV,single,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",223.39,78
70,4Tkb7zsDmsawB7S5TpKQV1,single,Pehli Dafa,298.771,71
71,5cgKosPPj5Cs9a2JQufUc1,album,Ilahi,228.982,68
72,7AsG1F1eMWd17RYan8M3Wm,single,Dil Nu,233.666,70
73,55kooTwqs6S0V4BqMKnS3r,single,Tum Mile,180.5,50
74,5XD2tP1DRH2NJgp45HiEQA,compilation,Bol Do Na Zara,292.826,64
75,7wW9scVNLYFLsmBb1yAUmS,single,Blue Eyes,220.943,69
76,7H3mfOvtPNA8YDF3EdKy0L,album,Tum Hi Ho Bandhu,283.693,71
77,4LiNqakFBEvBK5c9HCRZ36,single,BML,144.0,38
78,6VBhH7CyP56BXjp8VsDFPZ,single,"Kesariya (From ""Brahmastra"")",268.164,74
79,2x1ANLPyTKdejVvTJN6AUJ,single,Laggiyan,245.712,36
80,3h6Xvd0lISog6GxTk4X6MK,compilation,"Uska Hi Banana (From ""1920 Evil Returns"")",327.029,62
81,5B0twdZI8Acqq3fpptSh9M,album,hayat,274.427,39
82,5VqWH46kP3CM1B6goFqOSU,compilation,Pehli Sharam,216.062,46
83,5XseQZ9TGr06Rv1Ye6wCu0,single,Dhundhala,182.4,68
84,0FBQ4NrrHUbR9kus7rzrOj,album,Dil Diyan Gallan,260.536,70
85,2IoZMG3RqiTmsy7Li3zGFg,single,"Mere Sohneya (From ""Kabir Singh"")",193.355,73
86,3Lp18gi1na7sydAreeax2r,single,Aisa Hai Ye Pyaar,226.614,38
87,1feANd8EfcDP5UqSvbheM3,single,"Bekhayali (From ""Kabir Singh"")",371.79,70
88,4RCd3Gdtt3dNedof64hqRD,album,"Phir Mohabbat (From ""Murder 2"")",329.851,63
89,5vGiuYFSGekGLgbxhV1rD5,compilation,Tu Jaane Na,341.933,67
90,3bQsp4Vr9Rg4fNCx6HPOgX,single,Alag Aasmaan,212.75,73
91,2hgJvn8aSfTFT40Sklvnvh,single,Haye Yeh Nigahen,138.823,31
92,6FjbAnaPRPwiP3sciEYctO,album,Raabta,243.578,72
93,44Pcf8XrcjYleWAMKm0wH1,single,Tera Saath,259.459,40
94,48Ix6ReYdJf2H4mKb3TIpj,compilation,Tera Hone Laga Hoon,299.827,70
95,6qrifdo7QINdPQr80IelGi,single,Iraaday,133.305,69
96,0czcoKJbJt08NqKrvSbbz7,single,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",313.051,73
97,4bD9z9qa4qg9BhryvYWB7c,album,Kabira,223.459,74
98,73K33p4Vyz9koXGqmL5eFs,single,Malang Sajna,161.041,77
99,7eQl3Yqv35ioqUfveKHitE,compilation,Tum Se Hi,321.225,75
